Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
24-Jan-18,2841.00,2837.00,2855.25,2825.50,1.89M,0.05%,"2,766.66",2868.725725,2664.599275,1.5,9.3625,-1.6,5.8515625,85.40478905
23-Jan-18,2839.50,2835.25,2844.75,2828.75,1.28M,0.15%,"2,758.90",2860.772908,2657.027092,4.25,9.3,-1.6,5.8125,85.32110092
22-Jan-18,2835.25,2804.00,2838.25,2802.00,1.18M,0.86%,"2,751.20",2850.673694,2651.726306,24.25,9.0875,-1.675,5.425373134,84.43670151
19-Jan-18,2811.00,2797.00,2815.00,2791.75,1.36M,0.53%,"2,743.79",2838.888177,2648.686823,14.75,7.875,-1.7375,4.532374101,81.92457737
18-Jan-18,2796.25,2803.25,2808.00,2793.75,1.35M,-0.27%,"2,737.65",2830.298941,2645.001059,-7.5,7.25,-1.7375,4.172661871,80.66759388
17-Jan-18,2803.75,2782.75,2809.50,2779.00,1.54M,0.76%,"2,732.14",2823.212003,2641.062997,21.25,7.25,-1.45,5,83.33333333
16-Jan-18,2782.50,2789.75,2808.50,2769.25,1.98M,-0.40%,"2,726.34",2812.871077,2639.803923,-11.25,6.5,-1.45,4.482758621,81.76100629
15-Jan-18,2793.75,2795.50,2797.00,2791.00,-,-0.06%,"2,721.29",2805.785285,2636.789715,-1.75,6.5,-1.0125,6.419753086,86.52246256
14-Jan-18,2795.50,2789.75,2795.50,2789.75,-,0.24%,"2,715.80",2794.542351,2637.057649,6.75,6.5,-1.45,4.482758621,81.76100629
12-Jan-18,2788.75,2768.75,2790.00,2766.75,1.36M,0.70%,"2,710.75",2780.400632,2641.099368,19.25,7.4365,-1.45,5.12862069,83.68311484
11-Jan-18,2769.50,2750.00,2770.50,2747.75,1.05M,0.69%,"2,704.76",2766.294629,2643.232371,19,7.2625,-1.45,5.00862069,83.35724534
10-Jan-18,2750.50,2749.75,2752.00,2736.50,1.29M,-0.06%,"2,698.95",2756.572272,2641.329728,-1.75,6.3125,-2.1125,2.98816568,74.92581602
9-Jan-18,2752.25,2746.50,2760.00,2742.75,1.14M,0.20%,"2,694.75",2748.678769,2640.823231,5.5,6.3875,-2.025,3.154320988,75.92867756
8-Jan-18,2746.75,2741.75,2748.50,2736.50,903.54K,0.15%,"2,690.39",2738.538112,2642.238888,4.25,6.2875,-2.025,3.104938272,75.63909774
5-Jan-18,2742.50,2725.00,2743.25,2723.75,1.14M,0.69%,"2,686.13",2727.944852,2644.307148,18.75,6.6,-2.025,3.259259259,76.52173913
4-Jan-18,2723.75,2710.25,2729.00,2708.50,1.17M,0.47%,"2,681.55",2716.925905,2646.176095,12.75,6.2375,-2.025,3.080246914,75.49167927
3-Jan-18,2711.00,2693.75,2714.25,2692.25,1.11M,0.67%,"2,677.34",2711.602802,2643.074198,18,6.1125,-2.025,3.018518519,75.11520737
2-Jan-18,2693.00,2675.25,2696.00,2674.50,996.27K,0.46%,"2,673.25",2710.020425,2636.481575,12.25,5.2625,-2.025,2.598765432,72.21269297
1-Jan-18,2680.75,2675.75,2681.00,2674.75,-,0.18%,"2,670.01",2710.659324,2629.367676,4.75,4.65,-2.525,1.841584158,64.80836237
29-Dec-17,2676.00,2684.75,2698.25,2667.75,1.09M,-0.36%,"2,667.89",2710.564092,2625.212908,-9.75,4.4125,-2.8125,1.568888889,61.07266436
28-Dec-17,2685.75,2684.00,2689.00,2683.00,535.62K,0.01%,"2,666.29",2710.068797,2622.508203,0.25,4.4125,-2.525,1.747524752,63.6036036
27-Dec-17,2685.50,2687.50,2691.00,2681.50,666.33K,-0.06%,"2,664.40",2707.902626,2620.899374,-1.5,5.55,-2.525,2.198019802,68.73065015
26-Dec-17,2687.00,2686.75,2689.50,2683.50,376.10K,-0.05%,"2,661.38",2707.059391,2615.692609,-1.25,5.55,-2.5,2.22,68.94409938
25-Dec-17,2688.25,2687.25,2689.50,2687.00,-,0.08%,"2,658.33",2704.941877,2611.710123,2.25,6.7625,-2.4375,2.774358974,73.50543478
22-Dec-17,2686.00,2686.75,2691.50,2682.25,654.51K,-0.07%,"2,654.00",2704.791023,2603.210977,-1.75,6.6875,-2.4375,2.743589744,73.28767123
21-Dec-17,2687.75,2681.50,2696.00,2680.75,853.75K,0.23%,"2,649.75",2703.411032,2596.090968,6.25,6.9875,-2.35,2.973404255,74.83266399
20-Dec-17,2681.50,2684.75,2695.50,2679.00,981.22K,-0.09%,"2,645.11",2700.9342,2589.2928,-2.5,6.7,-2.35,2.85106383,74.03314917
19-Dec-17,2684.00,2695.00,2698.00,2682.50,980.48K,-0.39%,"2,640.76",2698.181752,2583.345248,-10.5,6.7,-2.3125,2.897297297,74.34119279
18-Dec-17,2694.50,2683.00,2698.00,2682.50,1.04M,0.95%,"2,636.38",2693.291668,2579.460332,25.48,7.4125,-1.7875,4.146853147,80.57065217
15-Dec-17,2669.02,2650.00,2667.25,2650.00,34.57K,0.59%,"2,630.75",2685.681876,2575.820124,15.77,6.426,-1.7875,3.594965035,78.23704876
14-Dec-17,2653.25,2665.50,2670.75,2649.25,473.84K,-0.50%,"2,626.11",2683.067116,2569.157884,-13.25,5.6375,-2.225,2.533707865,71.70111288
13-Dec-17,2666.50,2665.50,2672.50,2656.75,758.32K,0.06%,"2,622.70",2680.971732,2564.428268,1.5,6.6375,-1.5625,4.248,80.94512195
12-Dec-17,2665.00,2662.75,2670.25,2660.50,1.03M,0.13%,"2,617.63",2677.492947,2557.757053,3.5,6.5625,-2.2125,2.966101695,74.78632479
11-Dec-17,2661.50,2652.00,2664.75,2649.25,1.27M,0.40%,"2,613.28",2671.262499,2555.287501,10.5,6.3875,-2.4125,2.647668394,72.58522727
8-Dec-17,2651.00,2639.50,2652.50,2637.75,1.15M,0.44%,"2,609.30",2664.184712,2554.415288,11.5,5.9875,-2.4125,2.481865285,71.2797619
7-Dec-17,2639.50,2630.50,2641.25,2626.25,1.35M,0.39%,"2,605.73",2658.44494,2553.00506,10.25,5.4125,-2.6375,2.052132701,67.23602484
6-Dec-17,2629.25,2626.75,2634.50,2620.00,1.31M,0.04%,"2,602.95",2654.000697,2551.899303,1,4.9,-2.9875,1.640167364,62.12361331
5-Dec-17,2628.25,2636.00,2648.75,2627.25,1.39M,-0.38%,"2,601.04",2650.78906,2551.28594,-10,5.0625,-2.9875,1.694560669,62.88819876
4-Dec-17,2638.25,2654.50,2665.25,2633.75,1.76M,-0.22%,"2,598.96",2647.379079,2550.545921,-5.75,5.0625,-2.5875,1.956521739,66.17647059
1-Dec-17,2644.00,2640.75,2650.75,2605.00,2.52M,-0.15%,"2,596.49",2641.380494,2551.594506,-4,5.3625,-2.3,2.331521739,69.98368679
30-Nov-17,2648.00,2625.00,2658.50,2621.75,2.35M,0.88%,"2,593.43",2632.672561,2554.177439,23,5.6625,-2.1,2.696428571,72.9468599
29-Nov-17,2625.00,2625.50,2634.25,2619.75,1.66M,-0.04%,"2,589.86",2620.168169,2559.556831,-1,4.6125,-2.1,2.196428571,68.7150838
28-Nov-17,2626.00,2602.25,2627.00,2597.50,1.56M,0.93%,"2,587.35",2613.427011,2561.272989,24.25,4.7125,-2.05,2.298780488,69.6857671
27-Nov-17,2601.75,2601.00,2605.50,2596.50,960.11K,0.03%,"2,584.69",2604.195174,2565.179826,0.75,3.725,-2.05,1.817073171,64.5021645
24-Nov-17,2601.00,2593.25,2603.00,2589.50,551.20K,0.23%,"2,583.01",2602.099886,2563.925114,6,3.6875,-2.5625,1.43902439,59
23-Nov-17,2595.00,2594.12,2598.00,2589.50,-,0.02%,"2,581.89",2599.068024,2564.706976,0.5,4.2375,-2.5625,1.653658537,62.31617647
22-Nov-17,2594.50,2595.75,2600.00,2592.75,770.81K,-0.07%,"2,580.21",2598.506355,2561.918645,-1.75,4.3625,-2.5625,1.702439024,62.99638989
21-Nov-17,2596.25,2582.00,2600.50,2579.25,1.15M,0.55%,"2,578.41",2597.836627,2558.988373,14.25,4.3625,-2.9125,1.497854077,59.96563574
20-Nov-17,2582.00,2576.00,2584.00,2567.75,1.00M,0.22%,"2,576.96",2595.06475,2558.86025,5.75,3.8375,-2.9125,1.317596567,56.85185185
17-Nov-17,2576.25,2584.25,2586.00,2574.75,1.19M,-0.34%,"2,576.04",2594.929349,2557.145651,-8.75,3.55,-3.4375,1.032727273,50.80500894
16-Nov-17,2585.00,2564.25,2589.50,2562.25,1.53M,0.78%,"2,575.93",2594.838306,2557.011694,20,4.225,-3,1.408333333,58.47750865
15-Nov-17,2565.00,2576.75,2577.00,2555.50,1.92M,-0.50%,"2,574.70",2594.299678,2555.100322,-13,3.25,-3,1.083333333,52
14-Nov-17,2578.00,2580.25,2582.25,2564.25,1.58M,-0.15%,"2,574.45",2594.687797,2554.212203,-4,3.4,-2.35,1.446808511,59.13043478
